"Country","Alcoholic Beverages","Animal Products","Animal fats","Aquatic Products, Other","Cereals - Excluding Beer","Eggs","Fish, Seafood","Fruits - Excluding Wine","Meat","Miscellaneous","Milk - Excluding Butter","Offals","Oilcrops","Pulses","Spices","Starchy Roots","Stimulants","Sugar Crops","Sugar & Sweeteners","Treenuts","Vegetal Products","Vegetable Oils","Vegetables","Obesity","Undernourished","Confirmed","Deaths","Recovered","Active","Population","Unit (all except Population)"
"Kuwait",0,19.8923,2.1588,0,3.0847,2.3242,0.3732,0.3496,9.5706,0.1086,5.2766,0.189,1.3416,0.1984,0.5385,0.0472,1.5353,0,0,1.181,30.1101,21.215,0.5055,37,"2.8",3.34606693668727,0.0201875932636964,3.20462587934342,0.121253464080153,4691000,"%"
"Kyrgyzstan",0,29.1225,3.4472,0,4.0964,0.8655,0.0895,0.2388,10.1776,0.0448,14.2068,0.3358,0.0895,0.194,0.097,0.1865,2.1564,0,0,1.5893,20.8849,11.461,0.7163,15.4,"7.1",1.25850773430391,0.0209584470730968,1.19602669093115,0.0415225962996664,6594000,"%"
"Lao People's Democratic Republic",0,21.6306,3.9594,0,9.0989,0.4974,1.6871,0.8777,15.0283,0.0878,0.2243,0.2243,5.6076,0.1365,1.0435,0.3121,0.078,0.1853,0,0.0683,28.3792,9.762,1.1118,4.5,"16.5",0.000566141949737642,0,0.000566141949737642,0,7242000,"%"
"Latvia",0,30.439,10.443,0,1.5314,1.343,0.8819,0.2526,9.7976,0.0361,7.8613,0.1122,0.6334,0,0.0321,0.1323,2.0044,0,0,0.8819,19.563,13.7943,0.2606,25.7,"<2.5",2.84258675078864,0.0491587802313354,2.15410094637224,0.639327024185068,1902000,"%"
"Lebanon",0,12.4024,2.1637,0,2.253,0.329,0.3681,0.58,5.1361,0.039,4.3553,0.0502,2.8385,0.2175,0.0836,0.1171,0.725,0,0,2.911,37.5976,27.4593,0.3736,31.3,"11",3.56463003663004,0.0267399267399267,2.16477655677656,1.37311355311355,6825000,"%"
"Lesotho",0,12.96,0.529,0,18.3763,0.2415,0.253,0.1495,9.1881,0.046,2.4149,0.345,0.782,0.4025,0.391,0.184,0.1495,0,0,0.0345,37.0285,16.3523,0.1725,13.5,"13.1",0.297432306255836,0.00434173669467787,0.0763305322128851,0.216760037348273,2142000,"%"
"Liberia",0,7.4228,0.4154,0,3.3592,0.2528,0.3702,0.1445,6.0051,0.0361,0.2438,0.1355,1.5803,0.0361,0,0.307,0.1174,0,0,0.3883,42.5772,36.4186,0.1896,8.6,"37.2",0.0372083827599842,0.00166073546856465,0.0336298932384342,0.00191775405298537,5058000,"%"
"Lithuania",0,32.3048,9.388,0,1.7819,1.9226,1.238,0.3283,14.2134,0.0094,5.4302,0.1125,0.8441,0.2345,0.197,0.061,0.3423,0,0,0.9238,17.6975,12.7128,0.2579,28.4,"<2.5",5.92555476020043,0.0850393700787402,3.59681460272011,2.24370078740157,2794000,"%"
"Luxembourg",0,32.4517,6.4786,0,1.8437,1.6645,0.6987,0.3256,16.3118,0.0658,7.2286,0.0658,0.6402,0.0146,0.1646,0.0329,3.3838,0,0,0.128,17.5519,10.6855,0.2634,24.2,"<2.5",7.69462025316456,0.0868670886075949,7.22373417721519,0.384018987341772,632000,"%"
"Madagascar",0,19.0932,1.7454,0,10.0681,0.3406,0.745,1.2984,11.5581,0.0213,4.4274,0.298,1.5113,0.3193,0.2554,0.9153,0.1916,0.0213,0,0.2129,30.9068,15.8791,0.1916,4.5,"44.4",0.0650066808710411,0.000964212198909393,0.0630060308403452,0.0010364378317865,27691000,"%"
"Malawi",0,18.8711,2.6263,0,13.0891,0.2753,0.6672,1.3767,14.6458,0.0106,0.4024,0.2542,5.6232,0.7519,0.0529,1.3555,0.0318,0,0,0.2012,31.1236,8.4189,0.2224,4.7,"17.5",0.0586670151594354,0.00152117093570308,0.031228437009932,0.0259174072138003,19130000,"%"
"Malaysia",0,17.1723,1.4813,0,2.2933,2.7596,1.8599,0.1756,9.8041,0.0713,1.2289,0.0329,1.7502,0.0658,0.6584,0.0329,0,0,0,0.3731,32.8304,27.174,0.2359,15.3,"2.5",0.460834019706537,0.00178762087794759,0.351505445227418,0.107540953601171,32781000,"%"
"Maldives",0,29.7398,4.8409,0,4.5092,3.2756,8.4068,0.4665,5.836,0.4561,7.3909,0,1.3683,0.0518,1.1713,0.0622,1.7207,0,0,4.9756,20.255,4.9549,0.5183,7.9,"10.3",2.65711645101664,0.00905730129390019,2.490573012939,0.157486136783734,541000,"%"
"Mali",0,17.4631,1.2195,0,12.0873,0.1327,0.4065,0.2987,5.6745,0.0249,9.7146,0.3152,3.3765,0.5475,0.1244,0.1327,0.0332,0,0,1.3357,32.5369,14.1945,0.3816,7.1,"6.3",0.0385166164633845,0.00152091254752852,0.0270505160239001,0.00994518789195595,20251000,"%"
"Malta",0,29.3856,6.6557,0,4.8786,1.3878,1.3074,0.2666,10.6541,0.0169,9.3298,0.0508,1.4978,0.0804,0.0804,0.0296,2.6783,0,0,1.172,20.6144,9.3975,0.5162,31,"<2.5",2.92567049808429,0.0452107279693487,2.37413793103448,0.50632183908046,522000,"%"
"Mauritania",0,17.4021,1.7485,0,4.3092,0.4337,0.5369,0.0895,5.7479,0.0688,8.646,0.2822,0.5025,0.3373,0,0.0207,0.1652,0,0,0,32.6014,26.9567,0.1514,11.3,"10.4",0.343290322580645,0.00860215053763441,0.307913978494624,0.0267741935483871,4650000,"%"
"Mauritius",0,12.8934,1.4559,0,3.2471,0.7355,1.0457,0.1501,6.7594,0.1001,2.8418,0.055,1.566,0.2502,0.3452,0.025,0.9856,0,0,0.2702,37.1041,29.9945,0.1751,11.5,"6.5",0.0432411067193676,0.000790513833992095,0.0407905138339921,0.0016600790513834,1265000,"%"
"Mexico",0,23.7741,3.2525,0,6.4604,2.2807,0.4661,0.5305,13.2133,0.005,4.3433,0.2182,1.185,0.238,0.2529,0.0248,0.2033,0,0,0.7437,26.2234,16.3419,0.2429,28.4,"3.6",1.25965240390635,0.108787717541004,0.938877238011769,0.211987448353575,127792000,"%"
"Mongolia",0,36.9018,5.5153,0,2.7445,0.593,0.0315,0.042,21.0223,0.0525,9.0628,0.6717,0.1259,0.0105,0.0052,0.042,1.6373,0,0,0.0787,13.0982,8.2231,0.1417,19.6,"13.4",0.0449866111276406,5.9506099375186e-05,0.027045522166022,0.0178815828622434,3361000,"%"
"Montenegro",0,32.7855,3.8887,0,3.7312,1.1566,0.3473,0.3688,14.7778,0.1003,12.5363,0.0752,0.5837,0.0788,0.043,0.0251,2.5531,0,0,0.8415,17.2163,8.6332,0.2578,24.9,"<2.5",8.79903536977492,0.119131832797428,7.13633440514469,1.5435691318328,622000,"%"
"Morocco",0,15.4227,3.5807,0,7.1539,1.1517,1.2329,0.7014,6.9989,0.0074,2.2296,0.2289,0.7309,0.1477,0.3987,0.096,0.1993,0,0,1.9048,34.5736,22.9457,0.2953,25.6,"3.4",1.2728777258567,0.0219403649310191,1.20320427236315,0.0477330885625278,35952000,"%"
"Mozambique",0,11.591,1.1197,0,8.8101,0.5537,0.849,0.1846,6.8783,0.0369,2.0795,0.1107,1.1936,0.7014,0.0246,0.849,0.0984,0,0,0.8244,38.4152,25.5199,0.16,6,"27.9",0.0802284540845793,0.000693062953218251,0.0589456458961689,0.0205897452351922,31166000,"%"
"Myanmar",0,26.047,3.0066,0,3.8192,0.9251,2.5441,0.275,18.1335,0.0375,1.2814,0.1563,5.1194,0.6938,0.5313,0.0625,0.025,0,0.0813,0.2688,23.953,12.7453,0.2938,5.7,"10.6",NA,NA,NA,NA,54704000,"%"
"Namibia",0,16.7373,3.3171,0,6.802,0.2718,0.6075,0.2798,7.7772,0.0959,4.548,0.2078,0.8792,0.4316,0.4236,0.5915,0.5995,0,0,0.1199,33.2667,22.9078,0.1359,15,"27.3",1.17626918536009,0.0110192837465565,1.03321526957891,0.132034632034632,2541000,"%"
"Nepal",0,12.1853,3.3076,0,7.1664,0.4361,0.1563,0.5513,2.7069,0.0082,5.4139,0.1563,0.4525,0.5513,1.1437,0.1975,0.2468,0.1892,0,0.5019,37.8147,26.2136,0.6006,3.8,"8.7",0.889505267368982,0.00649419922656354,0.868672489665289,0.0143385784771303,29996000,"%"
"Netherlands",0,30.1494,6.6484,0,1.2702,1.4787,0.7451,0.3475,10.8567,0,10.3934,0.027,0.3591,0.0309,0.1235,0.0849,0.0541,0,0,1.498,19.8525,15.8449,0.2355,23.1,"<2.5",5.23494589797905,0.0742485830423084,0.066874677964161,5.09382263697258,17467000,"%"
"New Caledonia",0,22.2697,3.6599,0,5.0979,1.0439,0.8385,0.2222,11.6086,0.2851,5.0476,0.0755,3.3036,0.0293,0.0629,0.0335,1.3961,0,0,0.2557,27.7282,16.8532,0.1887,NA,"7.1",NA,NA,NA,NA,295000,"%"
"New Zealand",0,34.1264,13.9753,0,1.3271,1.2111,0.6485,0.3049,13.9409,0,4.2948,0.0601,2.0228,0.0773,0.0859,0.0687,0.0945,0,0,1.3357,15.8736,10.2689,0.2835,32,"<2.5",0.045037096450772,0.000501303388810908,0.0430118307599759,0.00152396230198516,4987000,"%"
"Nicaragua",0,17.9935,2.3309,0,9.2369,1.008,0.4174,0.1339,7.6069,0.1102,6.5123,0.1102,1.9214,0.4646,0.0079,0.1024,0.4252,0,0,0.0315,32.0104,19.3952,0.1811,21.8,"17",0.0932686476652517,0.00253183747725894,0.0640539721043056,0.0266828380836871,6596000,"%"
"Niger",0,10.9769,2.6573,0,12.436,0.058,0.1353,0.2416,3.6332,0.0097,4.3193,0.1836,13.4216,1.4398,0.3479,0.0483,0.029,0,0,0,39.0279,10.5904,0.4445,4.7,"16.5",0.0169705237918062,0.000570507255364008,0.011831824382984,0.00456819215345818,24189000,"%"
"Nigeria",0,5.0182,0.8078,0,7.1082,0.5755,0.5957,0.3433,2.4838,0.0101,0.4645,0.0909,4.3922,0.4241,0.4746,1.2621,0.0404,0,0,0.2322,44.9818,30.1494,0.5452,7.8,"13.4",0.0520738333171631,0.00068545648588338,0.041008537886873,0.0103798389444067,206140000,"%"
"North Macedonia",0,19.642,7.1263,0,1.9013,0.7305,0.2371,0.4112,6.5409,0.0435,4.8476,0.15,2.0174,0.1355,0.4886,0.0774,1.7078,0,0,1.1708,30.3628,21.6642,0.745,23.9,"3.2",4.24947115384615,0.128942307692308,3.34019230769231,0.780336538461538,2080000,"%"
"Norway",0,27.2211,6.4445,0,1.9601,1.0645,1.5545,0.4055,10.6992,0.3244,7.4043,0.0541,1.7032,0.0912,0.0473,0.0473,1.6796,0,0,0.8888,22.7806,15.4642,0.1656,25,"<2.5",1.08041581585298,0.00959717839242621,0.334100612585855,0.736718024874698,5387000,"%"
"Oman",0,23.6146,2.3712,0,3.7744,1.4422,0.929,0.7926,9.0171,0.0325,9.6407,0.2144,1.1174,0.1689,0.7276,0.039,1.0979,0,0,0.6107,26.3821,17.4495,0.5782,22.9,"6.8",2.78514746446,0.032017823042648,2.62238489284956,0.130744748567791,4713000,"%"
